"q15","q25","q50","q75","q85"
"married","married","married^4","married^4","married"
"married^4","married^4","hsorged","hsorged","married^4"
"hsorged","hsorged","wkless13","wkless13","hsorged"
"wkless13","wkless13","wkless13^4","black","wkless13"
"wkless13^4","wkless13^4","black","black*hsorged","wkless13^4"
"black","black","black*married","hispanic","black"
"black*hsorged","black*hsorged","black*hsorged","hispanic*hsorged","black*married"
"black*wkless13","black*wkless13","black*wkless13","afdc","black*hsorged"
"hispanic","hispanic*married","hispanic","afdc*hsorged","black*wkless13"
"hispanic*married","hispanic*hsorged","hispanic*married","afdc*wkless13","hispanic"
"hispanic*hsorged","hispanic*wkless13","hispanic*hsorged","age2225","hispanic*married"
"hispanic*wkless13","afdc","afdc","age2225*hsorged","hispanic*hsorged"
"afdc","afdc*married","afdc*married","age2225*wkless13","hispanic*wkless13"
"afdc*married","afdc*wkless13","afdc*hsorged","age2629","afdc"
"afdc*hsorged","age2225","afdc*wkless13","age2629*married","afdc*married"
"afdc*wkless13","age2225*married","age2225","age3035","afdc*hsorged"
"age2225","age2225*hsorged","age2225*married","age3035*married","afdc*wkless13"
"age2225*married","age2225*wkless13","age2225*hsorged","age3035*hsorged","age2225"
"age2225*hsorged","age2629","age2225*wkless13","age3035*wkless13","age2225*married"
"age2225*wkless13","age2629*married","age2629","age3644","age2225*hsorged"
"age2629","age2629*hsorged","age2629*hsorged","age3644*married","age2225*wkless13"
"age2629*married","age2629*wkless13","age2629*wkless13","age3644*hsorged","age2629"
"age2629*hsorged","age3035","age3035","age3644*wkless13","age2629*married"
"age2629*wkless13","age3035*married","age3035*married","age4554*married","age2629*hsorged"
"age3035","age3035*hsorged","age3035*hsorged","class_tr*married","age2629*wkless13"
"age3035*married","age3035*wkless13","age3035*wkless13","class_tr*hsorged","age3035"
"age3035*hsorged","age3644","age3644","ojt_jsa*married","age3035*married"
"age3035*wkless13","age3644*married","age3644*hsorged","ojt_jsa*hsorged","age3035*hsorged"
"age3644","age3644*hsorged","age3644*wkless13","f2sms","age3035*wkless13"
"age3644*married","age3644*wkless13","age4554*hsorged","f2sms*married","age3644"
"age3644*wkless13","age4554*hsorged","age4554*wkless13","f2sms*hsorged","age3644*married"
"age4554","class_tr","class_tr",NA,"age3644*hsorged"
"age4554*married","class_tr*married","class_tr*married",NA,"age3644*wkless13"
"age4554*wkless13","class_tr*wkless13","class_tr*hsorged",NA,"age4554"
"class_tr","ojt_jsa","class_tr*wkless13",NA,"age4554*married"
"class_tr*married","ojt_jsa*married","ojt_jsa",NA,"age4554*hsorged"
"class_tr*hsorged","ojt_jsa*hsorged","ojt_jsa*married",NA,"age4554*wkless13"
"class_tr*wkless13","ojt_jsa*wkless13","ojt_jsa*hsorged",NA,"class_tr"
"ojt_jsa","f2sms","ojt_jsa*wkless13",NA,"class_tr*married"
"ojt_jsa*wkless13","f2sms*married","f2sms",NA,"class_tr*hsorged"
"f2sms","f2sms*hsorged","f2sms*married",NA,"class_tr*wkless13"
"f2sms*married","f2sms*wkless13","f2sms*hsorged",NA,"ojt_jsa"
"f2sms*hsorged","cubicthesholdhsorged40","f2sms*wkless13",NA,"ojt_jsa*married"
"f2sms*wkless13",NA,NA,NA,"ojt_jsa*hsorged"
"cubicthesholdhsorged40",NA,NA,NA,"ojt_jsa*wkless13"
NA,NA,NA,NA,"f2sms"
NA,NA,NA,NA,"f2sms*married"
NA,NA,NA,NA,"f2sms*hsorged"
NA,NA,NA,NA,"f2sms*wkless13"
NA,NA,NA,NA,"cubicthesholdhsorged40"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
