"q10","q25","q50","q75","q90"
"inc","inc","inc","age","age"
"age","age","age","fsize","ira"
"fsize","ira","fsize","ira","hequity"
"ira","hmort","ira","hmort","educ"
"hmort","hequity","hmort","hequity","inc^2"
"hequity","educ","hequity","educ","fsize^2"
"educ","age^2","hmort^3","hmort^2","hmort^2"
"fsize^2","fsize^2","age*ira","inc^3","ira^3"
"ira^2","ira^2","age*hequity","fsize^3","hval^3"
"hmort^2","hmort^2","age*inc","age*fsize","age*fsize"
"fsize^3","age^3","fsize*educ","age*ira","age*educ"
"ira^3","fsize^3","fsize*hequity","age*educ","age*hmort"
"hmort^3","ira^3","ira*hequity","age*hmort","age*hequity"
"hval^3","hmort^3","educ*hequity","age*hequity","age*inc"
"age*fsize","hval^3","hmort*hequity","age*inc","fsize*hmort"
"age*ira","age*fsize","hval*inc","fsize*hmort","fsize*hequity"
"age*educ","age*ira","db","fsize*hequity","fsize*inc"
"age*hmort","age*educ","hown","fsize*inc","ira*educ"
"age*hequity","age*hmort","hs","ira*educ","ira*hmort"
"age*inc","age*hequity","smcol","ira*hmort","ira*hequity"
"fsize*ira","age*inc","col","ira*hequity","ira*inc"
"fsize*educ","fsize*ira","male","ira*inc","educ*hmort"
"fsize*hmort","fsize*educ","i2","educ*hmort","educ*hequity"
"fsize*hequity","fsize*hmort","i3","educ*hequity","hmort*hequity"
"fsize*inc","fsize*hequity","i4","hmort*hequity","hmort*inc"
"ira*educ","fsize*inc","i6","hmort*inc","hval*inc"
"ira*hmort","ira*educ","i7","hval*inc","marr"
"ira*hequity","ira*hmort","a2","marr","db"
"ira*inc","ira*hequity","a3","db","hown"
"educ*hmort","ira*inc","a4","hown","hs"
"educ*hequity","educ*hmort","pira","hs","smcol"
"educ*inc","educ*hequity","twoearn","smcol","col"
"hmort*hequity","educ*inc","marr*age","col","male"
"hmort*inc","hmort*hequity","marr*fsize","male","i2"
"hval*inc","hmort*inc","marr*hmort","i2","i3"
"marr","hval*inc","marr*hequity","i3","i4"
"db","marr","marr*educ","i4","i6"
"hown","db","pira*inc","i6","i7"
"hs","hown","pira*age","a1","a1"
"col","hs","pira*fsize","a2","a2"
"male","smcol","pira*hmort","a3","a3"
"i2","col","pira*hequity","a4","a4"
"i3","male","twoearn*inc","pira","pira"
"i4","i2","twoearn*age","twoearn","twoearn"
"i5","i3","twoearn*ira","marr*inc","marr*inc"
"i6","i4","twoearn*hmort","marr*age","marr*age"
"i7","i5","twoearn*hequity","marr*fsize","marr*fsize"
"a1","i6","thesholdinc20","marr*ira","marr*ira"
"a2","i7","cubicthesholdeduc20","marr*hmort","marr*hequity"
"a3","a1",NA,"marr*hequity","marr*educ"
"a4","a2",NA,"marr*educ","pira*inc"
"pira","a3",NA,"pira*inc","pira*age"
"twoearn","a4",NA,"pira*age","pira*fsize"
"marr*inc","pira",NA,"pira*fsize","pira*hmort"
"marr*age","twoearn",NA,"pira*hmort","pira*hequity"
"marr*fsize","marr*inc",NA,"pira*hequity","pira*educ"
"marr*ira","marr*age",NA,"pira*educ","twoearn*inc"
"marr*hmort","marr*fsize",NA,"twoearn*inc","twoearn*age"
"marr*hequity","marr*ira",NA,"twoearn*age","twoearn*fsize"
"marr*educ","marr*hmort",NA,"twoearn*ira","twoearn*ira"
"pira*inc","marr*hequity",NA,"twoearn*hequity","twoearn*hmort"
"pira*age","marr*educ",NA,"twoearn*educ","twoearn*hequity"
"pira*fsize","pira*inc",NA,"powerthesholdage40","twoearn*educ"
"pira*hmort","pira*age",NA,"powerthesholdage20","powerthesholdage40"
"pira*hequity","pira*fsize",NA,"cubicthesholdinc20","cubicthesholdinc20"
"pira*educ","pira*hmort",NA,"powerthesholdinc20","powerthesholdinc20"
"twoearn*inc","pira*hequity",NA,"cubicthesholdeduc60","thesholdinc20"
"twoearn*age","pira*educ",NA,"cubicthesholdeduc20","cubicthesholdeduc60"
"twoearn*fsize","twoearn*inc",NA,NA,"cubicthesholdeduc20"
"twoearn*ira","twoearn*age",NA,NA,NA
"twoearn*hmort","twoearn*fsize",NA,NA,NA
"twoearn*hequity","twoearn*ira",NA,NA,NA
"twoearn*educ","twoearn*hmort",NA,NA,NA
"cubicthesholdage40","twoearn*hequity",NA,NA,NA
"cubicthesholdage20","twoearn*educ",NA,NA,NA
"powerthesholdage40","cubicthesholdage60",NA,NA,NA
"powerthesholdage20","cubicthesholdage20",NA,NA,NA
"thesholdage40","powerthesholdage60",NA,NA,NA
"cubicthesholdinc60","powerthesholdage20",NA,NA,NA
"powerthesholdinc20","thesholdage40",NA,NA,NA
"thesholdinc40","thesholdage20",NA,NA,NA
"thesholdinc20","cubicthesholdinc60",NA,NA,NA
"cubicthesholdeduc60","cubicthesholdinc20",NA,NA,NA
"cubicthesholdeduc20","powerthesholdinc60",NA,NA,NA
"powerthesholdeduc60","powerthesholdinc20",NA,NA,NA
"powerthesholdeduc20","thesholdinc40",NA,NA,NA
"thesholdeduc40","thesholdinc20",NA,NA,NA
"thesholdeduc20","cubicthesholdeduc60",NA,NA,NA
NA,"powerthesholdeduc60",NA,NA,NA
NA,"thesholdeduc40",NA,NA,NA
NA,"thesholdeduc60",NA,NA,NA
NA,"thesholdeduc20",NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
